,Date,Agar Malwa,Alirajpur,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Khandwa,Khargone,Maihar,Mandla,Mandsaur,Mauganj,Morena,Narsinghpur,Neemuch,Niwari,Pandhurna,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Singrauli,Tikamgarh,Ujjain,Umaria,Vidisha,SUM_PRECTOTCORR
31,1984-08-31,411.24,440.87,427.07,463.65,388.89,364.89,372.78,279.26,688.77,277.62,341.22,398.55,478.06,285.7,535.36,447.49,433.94,463.65,295.1,590.73,721.25,462.54,454.67,469.95,417.71,454.46,379.38,341.0,437.79,290.07,306.7,269.95,503.73,287.5,308.55,244.72,378.84,625.18,505.72,434.82,247.99,565.01,288.95,637.5699999999999,428.38,399.16,599.69,266.87,313.21,306.7,334.05,370.54,482.9,399.16,688.77,23008.32
32,1984-09-30,71.02,39.3,120.41,124.29,84.95,34.87,48.41,123.95,56.66,43.72000000000001,170.03,46.64,141.87,127.4,29.0,28.58,116.49,124.29,129.8,38.17,45.21,26.67,139.05,30.22,170.25,44.33,33.2,187.59,106.32,86.51,197.57,124.11,97.41000000000001,83.81,139.42,40.72,176.21,78.08,78.28,42.84,206.99,101.78,199.32,35.92,104.49,150.92,48.28,118.71,138.81,197.57,168.99,149.56,27.95,150.92,56.66,5484.52
33,1984-10-31,1.46,6.51,7.899999999999999,0.74,9.57,19.55,36.92,1.8,3.3,69.18,9.479999999999999,36.74,2.83,2.16,8.36,9.84,8.870000000000001,0.74,2.8,27.52,11.14,13.03,4.56,4.149999999999999,6.81,58.45999999999999,26.27,11.69,6.65,0.66,14.85,0.7,5.7,0.61,2.12,50.85,7.37,3.22,1.37,1.85,18.39,1.41,14.76,10.55,7.24,10.46,3.69,0.14,2.84,14.85,15.32,1.78,5.52,10.46,3.3,619.0399999999997
34,1984-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,1.4,0.0,0.03,0.32,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.05,0.0,0.0,1.65,0.06,0.0,0.0,0.17,0.0,0.48,0.0,0.0,0.0,4.37,0.0,1.81,0.0,0.0,0.04,0.0,0.0,0.24,1.65,0.41,0.07,0.0,0.04,0.0,14.8
35,1984-12-31,0.0,0.0,0.0,0.65,0.0,0.0,0.0,1.3,0.09,0.0,0.99,0.0,0.45,3.23,0.0,0.0,0.0,0.65,3.63,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.17,0.0,0.0,0.16,2.75,0.01,0.0,2.85,0.0,0.53,0.15,0.07,0.0,0.75,0.4,0.31,0.0,0.0,0.01,0.02,0.92,2.83,0.16,0.14,1.67,0.0,0.01,0.09,25.02
36,1985-01-31,0.43,0.32,42.1,5.04,40.41,1.18,19.64,10.29,7.49,8.03,24.28,18.27,19.68,4.52,1.48,0.6,42.7,5.04,4.89,8.6,11.12,1.24,40.4,0.25,32.79,12.59,2.33,25.34,46.33,0.06,26.16,3.63,27.19,0.02,5.220000000000001,18.28,24.13,14.59,1.51,0.15,32.02,10.21,25.37,4.35,40.87,32.77,2.32,1.7,5.390000000000001,26.16,29.21,7.8,0.49,32.77,7.49,817.2400000000001
37,1985-02-28,0.0,0.0,15.63,1.01,18.9,0.0,6.010000000000001,0.01,2.3,0.04,2.33,5.33,8.85,0.08,0.03,0.0,15.29,1.01,0.06,0.5700000000000001,2.75,0.0,19.81,0.0,13.65,0.56,0.0,3.23,20.26,0.0,1.75,0.02,14.15,0.0,0.43,4.13,5.3,6.609999999999999,0.22,0.0,0.5,4.15,1.76,0.49,19.42,9.66,0.34,0.01,0.51,1.75,3.76,1.22,0.0,9.66,2.3,225.85
38,1985-03-31,3.24,0.38,0.16,1.23,0.35,0.08,0.26,2.45,0.65,0.0,0.5800000000000001,0.24,0.78,2.78,0.8600000000000001,0.38,0.14,1.23,2.72,0.25,0.38,0.35,0.72,1.06,0.49,0.07,0.07,0.18,0.43,4.99,0.07,2.86,0.58,4.81,2.32,0.19,0.51,0.58,1.82,2.16,0.02,0.84,0.08,0.6399999999999999,0.64,0.17,1.21,3.41,2.27,0.07,0.12,1.64,1.0,0.17,0.65,56.33
39,1985-04-30,3.82,8.37,6.31,3.0,7.27,3.97,6.55,19.31,3.33,3.34,5.41,6.52,2.13,23.65,1.98,5.89,6.66,3.0,24.67,3.19,3.92,4.27,2.57,7.029999999999999,3.46,4.07,3.27,4.28,5.64,7.109999999999999,5.98,21.1,2.68,7.98,18.04,8.41,3.2,2.65,2.76,7.239999999999999,6.57,2.36,6.24,3.1,4.09,6.13,3.06,10.01,19.28,5.98,6.859999999999999,8.91,4.92,6.13,3.33,371.0
40,1985-05-31,8.28,0.34,9.9,8.05,8.67,0.92,18.65,1.42,27.39,5.69,0.93,20.38,6.34,2.09,9.98,0.52,10.27,8.05,2.12,21.51,31.88,1.49,4.06,0.49,5.15,16.1,1.84,1.73,7.68,1.39,2.29,2.19,10.38,0.46,2.82,14.96,1.81,19.01,14.76,0.57,0.74,13.46,2.34,24.99,6.32,8.53,22.8,2.53,2.69,2.29,6.93,3.93,1.77,8.53,27.39,447.7999999999999
