Date,State,Crop,Modal_Price,Log_Returns,Squared_Log_Returns,Conditional_Volatility,SARIMAX_pred,LSTM_pred
2021-04-01,Madhya Pradesh,Soybean,6587.444444444444,0.261947031258078,0.0686162471849205,0.1328880214740952,0.0871530570864597,0.0502176582813262
2021-05-01,Madhya Pradesh,Soybean,6553.074074055556,-0.0052312165187444,2.736562626598506e-05,0.1206341330675259,0.0874902705226312,0.0536088868975639
2021-06-01,Madhya Pradesh,Soybean,6820.331217,0.0399737723863697,0.0015979024787972,0.1846736433510155,0.089872868076676,0.0584260709583759
2021-07-01,Madhya Pradesh,Soybean,9312.62314811111,0.3114627713578564,0.0970090579419163,0.0983112354223638,0.0883290465533463,0.0581326335668563
2021-08-01,Madhya Pradesh,Soybean,8102.4435185,-0.1392051224403996,0.0193780661136466,0.1266157225982768,0.0692738898187102,0.0491829439997673
2021-09-01,Madhya Pradesh,Soybean,4834.331481555555,-0.5164228322733386,0.2666925416932168,0.360793731994836,0.0672569340374331,0.0511886775493621
2021-10-01,Madhya Pradesh,Soybean,5031.048148111111,0.0398854888870889,0.001590852223762,0.1098294949330535,0.0706617970429801,0.0542377308011055
2021-11-01,Madhya Pradesh,Soybean,5774.533597888889,0.1378291491262544,0.0189968743488672,0.0793986320413003,0.0614194784252242,0.0585446991026401
2021-12-01,Madhya Pradesh,Soybean,5943.695767166667,0.0288736320475475,0.0008336866276171,0.0905518814252091,0.0564483654427907,0.0640155598521232
2022-01-01,Madhya Pradesh,Soybean,5903.087808611111,-0.0068555515239623,4.699858669770227e-05,0.1499822604089557,0.0616759446972354,0.0700647979974746
2022-02-01,Madhya Pradesh,Soybean,7030.394841277778,0.1747672980345687,0.0305436084623037,0.0969213310776518,0.0728704141745041,0.0744550824165344
2022-03-01,Madhya Pradesh,Soybean,6875.430555555556,-0.0222886015799215,0.0004967817603884,0.1002125381113685,0.0876233189709547,0.077991671860218
2022-04-01,Madhya Pradesh,Soybean,6928.408333333334,0.0076758412378463,5.89185387086229e-05,0.1838648695180524,0.0926485083064567,0.0819714814424514
2022-05-01,Madhya Pradesh,Soybean,6273.086243388889,-0.0993616517237665,0.009872737833275,0.0992116919355138,0.0956315912773444,0.0864311754703521
2022-06-01,Madhya Pradesh,Soybean,6103.828703666667,-0.0273522267441919,0.0007481443078656,0.1032820815007296,0.093502342135456,0.0914229303598404
2022-07-01,Madhya Pradesh,Soybean,5633.103703666667,-0.0802556608568316,0.0064409710995667,0.0865587739724369,0.0833408152965071,0.0901093035936355
2022-08-01,Madhya Pradesh,Soybean,5131.653703666667,-0.0932326031421091,0.008692318288654,0.0808540978275469,0.070936685133426,0.067536637187004
2022-09-01,Madhya Pradesh,Soybean,4360.163359722222,-0.1629184421400271,0.0265424187893333,0.0709150788888488,0.0686181675923093,0.0621223002672195
2022-10-01,Madhya Pradesh,Soybean,4695.754365055555,0.0741492494015201,0.0054981111868088,0.0603578076816463,0.0651574227361189,0.0707962214946746
2022-11-01,Madhya Pradesh,Soybean,5130.108796333334,0.088468092933283,0.007826603467252,0.0397471102170043,0.0634905948488396,0.0661562159657478
2022-12-01,Madhya Pradesh,Soybean,5250.8151235000005,0.0232564593506996,0.0005408629015307,0.0602513634641341,0.0628488373231382,0.061185348778963
2023-01-01,Madhya Pradesh,Soybean,5080.576984055555,-0.0329584914915237,0.0010862621613968,0.0916362862679352,0.0656282763626519,0.0561944879591465
2023-02-01,Madhya Pradesh,Soybean,5079.678306888888,-0.0001769005095404,3.129379027566915e-08,0.0558265524022424,0.0747808339419636,0.052385676652193
2023-03-01,Madhya Pradesh,Soybean,5057.962962944444,-0.0042841084191671,1.835358494717889e-05,0.0508575113935834,0.0779820236910886,0.048911478370428
2023-04-01,Madhya Pradesh,Soybean,4892.379629611111,-0.0332850088082832,0.0011078918113674,0.0517335279067576,0.0865079739550247,0.0458673350512981
2023-05-01,Madhya Pradesh,Soybean,4809.208201111111,-0.0171463615287343,0.000293997713674,0.0538824571897955,0.0923435769238988,0.0445016585290432
2023-06-01,Madhya Pradesh,Soybean,4635.827248722222,-0.0367177936323805,0.00134819636923,0.0494014083833186,0.0902955427287696,0.0450956486165523
2023-07-01,Madhya Pradesh,Soybean,4759.078439111111,0.0262393824895461,0.0006885051934327,0.0476273847342427,0.0763804948029018,0.0428363904356956
2023-08-01,Madhya Pradesh,Soybean,4642.675926,-0.0247631360750997,0.0006132129082739,0.0426395581503357,0.0684262382680606,0.0437637232244014
2023-09-01,Madhya Pradesh,Soybean,4158.35092588889,-0.1101723245603523,0.0121379410990316,0.0509023510769187,0.0747849912449455,0.0529879964888095
2023-10-01,Madhya Pradesh,Soybean,4553.504276944444,0.0907785236553664,0.0082407403570479,0.0462541877931926,0.0696582713504024,0.0551786050200462
2023-11-01,Madhya Pradesh,Soybean,4649.6470237777785,0.0208942005624734,0.0004365676171448,0.0339709711015604,0.0678904631782887,0.0523761920630931
2023-12-01,Madhya Pradesh,Soybean,4325.386574055556,-0.0722897901789512,0.0052258137641167,0.0600431491244125,0.0612763032396612,0.0488469935953617
2024-01-01,Madhya Pradesh,Soybean,4232.750749499999,-0.0216494405762635,0.0004686982772651,0.0438354564903955,0.0650840112200194,0.0472483336925506
2024-02-01,Madhya Pradesh,Soybean,4288.044245944443,0.0129786651679086,0.0001684457495406,0.0339372694856907,0.0722778089531282,0.0489536747336387
2024-03-01,Madhya Pradesh,Soybean,4321.212962944444,0.0077053990387447,5.937317434628908e-05,0.0302521992717581,0.0858378380009549,0.0530713833868503
2024-04-01,Madhya Pradesh,Soybean,4394.614514166667,0.0168436758986789,0.0002837094177797,0.0335511164059213,0.088259205587149,0.0589140653610229
2024-05-01,Madhya Pradesh,Soybean,4419.412514,0.0056269546677949,3.166261883341935e-05,0.0358972554646697,0.0971521482741691,0.0692498981952667
2024-06-01,Madhya Pradesh,Soybean,4358.977777777778,-0.0137691966369253,0.0001895907760263,0.042820837204097,0.0938888514246965,0.0779036730527877
2024-07-01,Madhya Pradesh,Soybean,4184.442443666667,-0.0408641074879359,0.0016698752807855,0.0432927960946439,0.0847886346492352,0.0693006366491317
2024-08-01,Madhya Pradesh,Soybean,4377.091259611111,0.0450109400536469,0.0020259847245129,0.0442781630523975,0.073721793004608,0.0540810376405715
